GTIN,MRID
96600000006476,740401-0141-5401-01-12
07038319100398,740401-0241-5401-01-12
96600000006687,740401-0241-5401-01-12
96600000000260,280111-0101-5201-01-05
08806706059425,570501-0130-5406-01-11
05016007206449,570501-0101-1601-01-19
07612791321634,570501-0230-2714-01-19
07612791052965,570501-0230-2714-01-01
07612797602904,570501-0122-0401-01-04
07612797602928,570501-0222-0401-01-04
07612797602911,570501-0322-0401-01-04
07612797605837,570501-0330-5401-01-05
99660802221702,520401-0130-2713-01-19
06281086105856,140103-0122-6401-01-04
06281086105863,140103-0222-6401-01-04
06285312000366,470201-0122-6410-01-04
06285312000373,470201-0222-6410-01-04
18901175051776,470201-0122-6410-02-04
18901175051783,470201-0222-6410-02-04
06285147011827,470201-0122-6410-03-04
06285147011841,470201-0222-6410-03-04
06285147011872,470201-0322-6410-01-04
06281086013366,470201-0122-6410-04-04
06281086013359,470201-0222-6410-04-04
08715131007348,470201-0122-6410-05-04
08715131007355,470201-0222-6410-05-04
96600000007006,470201-0322-6410-02-04
06291100088010,340203-0122-4001-01-18
96600000005757,700202-0122-6401-01-04
96600000008195,700202-0122-6401-01-04
05413868100594,700202-0222-6401-01-11
06251107426321,481101-0122-6410-01-04
06285074001328,481101-0222-6410-01-04
06251148030259,481101-0222-6410-02-04
06285095006807,481101-0222-6410-03-04
06281086206621,481101-0222-6410-04-04
96600000005804,481101-0222-6410-05-04
06285128013277,481101-0222-6410-06-04
06285147003587,481101-0222-6410-07-04
06291100083275,481101-0222-6410-08-04
06251154022019,481101-0322-6410-01-04
06285085001744,481101-0322-6401-01-04
06285074004466,481101-0322-6410-02-04
06221032115591,481101-0322-6410-03-04
06251107013026,481101-0322-6410-04-04
06251148030235,481101-0322-6410-05-04
06281080010903,481101-0322-6410-06-04
06285095006791,481101-0322-6410-07-04
96600000006369,481101-0322-6410-08-04
96600000007292,481101-0322-6410-09-04
06281086021224,481101-0322-6410-10-04
96600000006590,481101-0322-6410-11-04
06251106402821,481101-0322-6410-12-04
06251600000257,481101-0322-6410-13-04
06285128000246,481101-0322-6410-14-04
06291103730206,481101-0322-6410-15-04
06285094000035,481101-0322-6404-01-04
06295143000251,481101-0322-6410-16-04
06285105001198,481101-0322-6410-17-04
06285147003594,481101-0322-6410-18-04
06291100083268,481101-0322-6410-19-04
06251154021012,481101-0422-6410-01-04
06285085001768,481101-0422-6401-01-04
06285074004473,481101-0422-6410-02-04
06221032115584,481101-0422-6410-03-04
06285095006784,481101-0422-6410-04-04
96600000006588,481101-0422-6410-05-04
96600000005130,481101-0422-6410-06-04
96600000006371,481101-0422-6410-07-04
06251105402845,481101-0422-6404-01-04
06285128000239,481101-0422-6410-08-04
06285105001853,481101-0422-6410-09-04
06285147003549,481101-0422-6410-10-04
06291100083251,481101-0422-6401-02-04
06285101001062,481101-0522-5401-01-03
06285074002127,481101-0522-2713-01-05
06285177000112,481101-0522-5401-02-05
06251065030929,481101-0522-2713-02-05
06286219000343,481101-0130-2713-01-03
06286219000336,481101-0130-2713-01-03
96600000009200,481101-0130-2713-02-03
06285111000918,481101-0130-2713-03-05
06285147801220,481101-0130-2713-04-19
06281080010880,481101-0101-4001-01-05
06281080010873,481101-0101-5406-01-05
06285128014229,481101-0101-5406-02-11
99661511211323,600102-0130-2713-01-01
16006267005957,600102-0130-2713-02-01
06091403220021,600102-0130-2713-04-01
96600000009231,600102-0130-2713-04-01
96600000008585,600102-0230-2713-01-19
99660404221912,600102-0130-2713-05-01
99660404221913,600102-0130-2713-05-01
06285101003219,600102-0130-2713-06-01
99639301121401,600102-0130-2713-07-19
99660703221820,600102-0130-2713-07-19
06285101005022,541802-0122-2714-01-19
06285101005039,541802-0122-2714-01-19
06285101005046,541802-0122-2714-01-19
07613421035235,541802-0130-2714-01-19
07613421035228,541802-0130-2714-01-19
05015997188117,541802-0230-2714-01-19
05055565754405,541802-0230-2714-02-19
05060149313404,541802-0230-2714-02-19
05702157106509,690501-0122-6410-01-04
06281080010927,690501-0222-6410-01-04
06281080010934,690501-0122-6410-02-04
06281080010941,690501-0322-6410-01-04
96600000002778,690501-0122-6410-03-04
96600000002012,690501-0322-6410-02-04
96600000005583,690501-0122-6401-01-04
96600000005380,690501-0322-6401-01-04
06251599000436,690501-0122-6410-04-04
06251599000467,690501-0322-6410-03-04
09501100940711,690501-0122-6410-05-04
04065265795197,542001-0122-6401-01-04
06291100081806,480302-0122-6410-01-04
06291100081790,480302-0222-6410-01-04
06285094000028,480302-0222-6410-02-04
06251107195012,480302-0130-6001-01-05
06251107196019,480302-0122-6410-02-04
06251107225023,480302-0222-6410-03-04
06251107424174,480302-0222-6409-01-04
96677000000630,480302-0222-6409-01-04
06281080001710,480302-0222-6410-04-04
06285147000647,480302-0130-6001-02-05
06285147000654,480302-0230-6001-01-05
06285147000661,480302-0122-6409-01-04
06285147005123,480302-0222-6410-05-04
06285147011780,480302-0222-6409-02-04
06285147004164,480302-0222-6409-02-04
09501100942524,480302-0122-6401-01-04
06285105002058,480302-0222-6410-07-04
06291103731364,480302-0222-6410-08-04
06251154047012,480302-0122-6410-03-04
06251154048019,480302-0222-6410-09-04
08002660016454,480302-0130-2305-01-05
96677000000486,480302-0130-6001-03-05
08002660016416,480302-0122-6401-03-04
96677000000650,480302-0222-4801-02-19
08002660016423,480302-0222-6404-01-04
08002660034724,480302-0222-6409-03-04
08002660034717,480302-0222-6409-03-04
06285095006883,480302-0222-6410-10-04
96600000004956,480302-0230-6001-02-05
96600000004769,480302-0122-6410-04-04
96600000004596,480302-0222-6410-11-04
06295143000367,480302-0222-6410-12-04
06285128015363,370402-0101-0601-01-18
06285097001848,340401-0101-0901-01-18
06285097001831,340401-0101-4001-01-18
06281080010972,340501-0101-4001-01-05
05026468754168,680105-0130-6001-01-05
05026468754052,680105-0230-6001-01-05
06281080010989,340601-0101-0901-01-18
06251158060017,340601-0101-0901-02-18
06251158060109,340601-0101-4001-01-18
06921100781485,340601-0101-4001-02-18
06285097001374,340601-0101-0901-03-18
06285097001398,340601-0101-3601-01-05
06285097001381,340601-0101-4001-03-18
03499320005807,340601-0101-5201-01-05
06291100085804,340601-0101-0901-04-18
06291100085811,340601-0101-4001-04-18
96677000000402,340601-0101-3501-01-27
06285128002899,340601-0101-4001-06-18
06285128002776,340102-0101-4001-01-05
96677000000538,542002-0130-5402-01-19
96600000006490,410201-0122-6401-01-04
09501100940704,410201-0122-6401-02-04
07612791028625,690202-0122-6404-01-04
07612791004698,690202-0222-6404-01-04
07613326003834,660301-0122-6401-01-04
07613326003827,660301-0222-6401-01-04
07613326003810,660301-0230-5406-01-05
06285312000052,140104-0122-6410-01-04
07640153085627,140104-0122-6410-02-04
00771313215022,140104-0122-6410-03-04
06281086002995,140104-0122-6410-04-04
99691411211315,140104-0122-6410-05-04
06288030001486,140104-0122-6410-06-04
03582910072805,140104-0122-6410-07-04
06285128016063,140104-0122-6410-08-04
06285074004329,010203-0101-0901-01-18
06285074000321,010203-0101-5401-01-11
06285074000345,010203-0201-0901-01-18
06285074004336,010203-0122-6401-01-04
06251600000318,010203-0101-5406-01-11
06251144001048,010203-0122-6401-02-04
06285104000758,010203-0122-6401-03-04
06221151002703,010203-0101-0901-02-18
06223000011386,010203-0101-5401-02-05
06285104000772,010203-0101-0901-03-18
09501100941145,010203-0101-0901-04-18
09501100940087,010203-0101-0901-04-18
06251151000485,010203-0101-5406-02-11
00366582500506,280202-0101-0901-01-18
09501100940766,280202-0101-0901-02-18
05290931026780,481301-0122-2706-01-19
05290931024076,481301-0222-2706-01-19
96600000002366,481301-0222-5401-01-19
08904182704546,680801-0122-6401-01-04
08904182704539,680801-0222-6401-01-04
18901175049940,680801-0122-6401-02-04
18901175049957,680801-0222-6401-02-04
06285101005671,150301-0115-2706-01-19
08055271660004,150302-0109-2706-01-19
07350031441550,150302-0209-2706-01-19
07350031441567,150302-0109-2706-02-19
07350031441574,150302-0309-2706-01-19
07350031441581,150302-0409-2706-01-19
07350031441598,150302-0509-2706-01-19
05415062002940,150302-0209-2706-02-19
05415062002957,150302-0109-2706-03-19
05415062002964,150302-0309-2706-02-19
05415062002971,150302-0409-2706-02-19
08435308320284,150302-0109-2706-04-19
08435308320291,150302-0109-2706-04-19
08435308320307,150302-0109-2706-04-19
08435308320314,150302-0109-2706-04-19
05413760376301,150302-0609-2706-01-19
06285117000479,150302-0109-2706-05-19
06285117001568,150302-0309-2706-03-19
05712249119867,150302-0109-2706-06-17
05712249119874,150302-0309-2706-04-17
05712249119881,150302-0409-2706-03-17
05019943000188,150302-0709-2706-01-19
15712249001022,150304-0122-2706-01-19
15712249001039,150304-0222-2706-01-19
15712249000575,150304-0322-2706-01-19
05413760365138,150305-0109-2710-01-19
05413760376189,150305-0209-2710-01-19
05413760382159,150305-0309-2710-01-19
00642621071924,150305-0109-2706-01-19
96600000000029,150305-0209-2706-01-19
00642621071948,150305-0309-2706-01-19
99662505222064,150305-0109-2706-02-19
99662505222065,150305-0209-2706-02-19
99662505222066,150305-0309-2706-02-19
99662505222067,150305-0409-2706-01-19
99662505222063,150305-0509-2706-01-19
05019943000232,150305-0609-2706-01-19
07350031441482,150305-0109-2706-03-19
07350031441499,150305-0209-2706-03-19
07350031441505,150305-0309-2706-03-19
07350031441512,150305-0709-2706-01-19
07350031441536,150305-0409-2706-02-19
07350031441543,150305-0509-2706-02-19
05712249117559,150305-0209-2706-04-17
05712249113025,150305-0309-2706-04-17
05413760374567,150305-0115-2706-01-05
05413765831386,150305-0215-2706-01-19
05413765813856,150305-0309-2706-05-05
96600000001626,150305-0109-2706-04-19
96600000001671,150305-0209-5401-01-19
96600000001719,150305-0309-2706-06-19
00085412547589,150305-0109-2706-05-19
00085412503561,150305-0209-2706-06-19
00085412503578,150305-0309-2706-07-19
06285074004398,150305-0209-2706-07-19
06285074004404,150305-0309-2706-08-19
06285074004411,150305-0409-2706-03-19
00313533002466,150305-0109-2706-06-19
00313533002480,150305-0109-2706-06-19
00313533002473,150305-0209-2706-08-19
96677000000602,150305-0109-2706-07-19
96677000000604,150305-0209-2706-09-19
96677000000605,150305-0309-2706-10-19
05712249101510,150305-0109-2706-08-19
05712249101558,150305-0209-2706-10-19
05712249101596,150305-0309-2706-11-19
26285117003290,150305-0109-2706-09-19
06285117000431,150305-0209-2706-11-19
06285117001575,150305-0309-2706-12-19
05415062004227,150305-0109-2706-10-19
05415062004562,150305-0209-2706-12-19
05415062004210,150305-0309-2706-13-19
05415062002988,150305-0409-2706-04-19
15019943000239,150306-0109-2706-01-19
06285117001834,150306-0409-2706-01-19
06285117001773,150306-0509-2706-01-19
05712249123680,150307-0309-2706-01-19
96600000007903,320301-0101-5201-01-05
96600000002874,610201-0122-6401-01-04
06251600002220,110103-0109-6410-01-11
06286001000124,110103-0109-6410-02-04
06285094000684,110103-0309-5401-01-01
06286219000244,110103-0209-0401-01-05
06286219000268,110103-0209-5406-01-05
06286219000251,110103-0409-0401-01-05
06286219000237,110103-0509-0401-01-05
06286219000589,110103-0109-0401-01-13
06286219000572,110103-0109-0401-01-13
06286219000220,110103-0109-0401-01-13
96677000005531,110103-0109-0401-02-04
07350064280225,110103-0115-5406-01-05
99662605222076,110103-0215-5406-01-05
08056515860501,110103-0315-2713-01-01
06251107426802,110103-0509-0401-02-05
06251107426796,110103-0109-0401-03-05
00766961306505,110103-0409-0401-03-05
00766961306512,110103-0509-0401-03-05
00766961306529,110103-0109-0401-04-05
08056515860495,110103-0415-2713-99-01
06285128006583,110103-0209-0401-02-05
06285128006576,110103-0209-0401-02-05
06285128006590,110103-0209-0401-02-04
06285128006552,110103-0409-0401-04-05
06285128003810,110103-0409-0401-04-05
06285128006569,110103-0409-0401-04-04
06285128003780,110103-0509-0401-04-05
06285128006545,110103-0509-0401-04-04
06285128003773,110103-0109-0401-05-05
06285128006538,110103-0109-0401-05-04
06251599004632,110103-0109-0401-06-13
06251599004649,110103-0109-0401-06-13
06251599004656,110103-0109-0401-06-13
06251106803628,110103-0109-6410-03-05
06286069000005,110103-0409-0401-05-05
06286069000029,110103-0109-0401-07-05
06286069000012,110103-0109-0401-07-05
07612797014899,110103-0615-5406-01-05
16221508220429,110103-0715-5406-01-05
16297000448081,110103-0109-6401-02-04
96677000005537,110109-0124-6410-01-05
96600000008036,270501-0104-4801-01-03
96600000000150,481401-0109-6401-01-04
06286023000454,481401-0209-2706-01-19
06285101003127,481401-0209-2706-02-19
06298044065626,170601-0101-5401-01-05
06285111002608,170601-0107-2713-01-03
06285111001045,170601-0207-2713-01-05
06285111000123,170601-0207-2713-01-05
06285111000130,170601-0207-2713-01-05
06285111001649,170601-0207-2713-01-03
96600000003092,170601-0201-2713-01-05
96600000004464,170601-0201-2713-01-05
96600000004315,170601-0201-2713-01-03
96600000003163,170601-0201-2713-01-03
06285064000546,170601-0301-2713-01-03
06285064000553,170601-0401-2713-01-03
06285111001816,170601-0101-2713-01-05
06285085002857,170601-0501-2713-01-05
06285085002901,170601-0601-2713-01-03
06285064000225,170601-0106-2713-01-03
06285064000232,170601-0106-2713-01-03
06285064000249,170601-0106-2713-01-03
06285111000383,170601-0104-2713-01-03
06285111002615,170602-0101-2713-01-05
06285177000235,170602-0101-2713-01-05
06285111000215,170602-0101-2713-02-05
06285111001168,170602-0101-2713-02-03
06285111001311,170602-0101-2713-02-03
06285111002639,170602-0101-2713-02-05
06285111001175,170602-0101-2713-01-05
06285111001625,170602-0106-2713-01-03
06285111000154,170602-0106-2713-01-05
06285111001823,170602-0101-2713-03-03
06285064000041,170602-0201-5401-01-03
06285064000072,170602-0201-5401-01-03
06285064000058,170602-0301-5401-01-03
06285064000027,170602-0301-5401-01-03
06285064000119,170602-0301-5401-01-03
06285064000089,170602-0301-5401-01-03
06285064000607,170602-0401-5401-01-03
06285064000065,170602-0401-5401-01-03
06285064000096,170602-0501-5401-01-03
06285064000584,171101-0101-5401-01-03
96600000004544,410110-0141-2713-01-17
96600000004366,410110-0241-2713-01-17
05415062390795,380301-0101-4001-01-18
07612797525579,180201-0130-5402-01-19
05415062004166,540504-0122-0401-01-05
05415062008683,540504-0222-0401-01-05
06251151000232,800302-0101-5406-01-11
06285128002844,800302-0101-5406-02-11
06285128001243,800302-0101-5406-03-11
06285128000437,800303-0122-6003-01-11
06251161010160,310101-0101-0901-01-18
06251161020138,310101-0101-3601-01-18
96600000005345,160101-0122-5401-01-01
06291100086290,160101-0122-2701-01-01
06221075030318,160101-0122-2713-01-01
06285101002731,160101-0122-2713-02-01
06221075050446,110501-0117-6201-01-05
96600000004486,110502-0122-6401-01-04
05021265245918,110502-0222-6401-01-04
05021265245901,110502-0322-6401-01-04
96600000006459,110507-0122-6401-01-04
06281086003497,600202-0122-6410-01-04
06281086005132,600202-0322-0407-01-04
06281086005149,600202-0422-0407-01-04
05415062001479,600202-0322-0407-02-05
05415062001486,600202-0422-0407-02-05
06285147010806,600202-0322-0407-03-05
06285147010844,600202-0422-0407-03-05
00300650396066,801101-0101-5406-01-11
06297000720081,801101-0201-5406-01-11
06297000720043,801101-0101-5406-02-11
06251151000324,801101-0101-5406-03-11
06285128013062,801101-0101-5406-04-11
05413760235431,541104-0104-2706-01-19
05413760238258,541104-0122-6410-01-04
05413760238968,541104-0222-2706-01-19
05413760238272,541104-0322-2706-01-19
15285003471213,780203-0122-6401-01-04
06285074000710,410401-0122-6401-01-04
07613421035112,541003-0130-2713-01-19
07613421035129,541003-0230-2713-01-19
07613421035051,541003-0230-2713-01-19
07613421035044,541003-0230-2713-01-19
05015997196617,541003-0330-2713-02-19
05015997195658,541003-0330-2713-02-19
96677000000332,140403-0122-0401-01-04
96677000000333,140403-0122-0401-01-04
96677000000334,140403-0222-0401-01-04
96677000000335,140403-0222-0401-01-04
06285079000074,140403-0122-0401-02-04
06285079000012,140403-0122-0401-02-04
06285079000036,140403-0322-0401-01-04
06285079000128,140403-0322-0401-01-04
06285079000142,140403-0222-0401-02-04
07612797521908,542101-0122-0401-01-05
96600000020474,542101-0122-0401-01-05
07613421024383,542101-0222-0401-01-05
96600000020476,542101-0222-0401-01-05
99666666446310,542201-0122-2706-01-19
99666666546310,542201-0222-2706-01-19
99666666646310,542201-0322-2706-01-19
06281086003619,510501-0122-6410-01-04
06281086013601,510501-0222-6410-01-04
05415062381243,540302-0122-6410-01-05
05415062381250,540302-0222-6410-01-05
05415062381267,540302-0322-6410-01-05
03582910072096,410501-0122-0401-01-04
03582910072102,410501-0222-0401-01-04
99660806222159,100302-0122-6410-01-04
99660806222160,100302-0222-6410-01-04
06285101004568,100302-0122-6410-02-04
06285101004551,100302-0222-6410-02-04
05000456009249,100302-0122-6410-03-04
05000456009256,100302-0222-6410-03-04
06285101004957,100401-0122-6410-01-13
06281080014840,420301-0122-6410-01-04
06285128012980,420301-0222-6410-01-04
06285128012973,420301-0122-6410-02-04
06285094000745,420301-0222-6410-02-04
06285094000752,420301-0122-6410-03-04
06285101005862,420301-0222-6410-03-04
06285101005879,420301-0122-6410-04-04
06285145000052,420301-0222-6410-04-04
06285145000069,420301-0122-6410-05-04
06285095009839,420301-0222-6410-05-04
06285095009846,420301-0122-6410-06-04
96677000000256,420301-0222-6410-06-04
96677000000255,420301-0122-6410-07-04
06281086012895,420301-0222-6410-07-04
06281086105528,420301-0222-6410-07-04
06281086012901,420301-0122-6410-08-04
06281086105535,420301-0122-6410-08-04
96677000005522,420301-0122-6410-10-04
06286001000063,420301-0222-6410-09-04
06286001000070,420301-0122-6410-11-04
96607102111080,420301-0222-6410-10-04
96607102111070,420301-0122-6410-12-04
06286219000947,481501-0122-2706-01-19
99696161121329,481501-0222-2706-02-19
06285147803422,481501-0122-2706-03-19
05413868107975,540706-0130-5402-01-19
05413868120080,540706-0130-5402-01-19
05413868120035,540706-0230-2713-01-19
08715131012281,160201-0246-2713-01-17
08715131012830,160201-0446-2713-01-17
08715131012847,160201-0546-2713-01-17
08715131013356,160201-0546-2713-01-17
08715131012861,160201-0546-2713-01-17
08715131012892,160201-0646-2713-01-17
08715131013370,160201-0646-2713-01-17
08715131013363,160201-0646-2713-01-17
08715131024284,160201-0846-2713-01-17
08715131024277,160201-0846-2713-01-17
08715131012922,160201-0846-2713-01-17
06091403220564,420401-0122-6409-01-04
06091403220571,420401-0222-6409-01-04
18901175042316,510402-0122-6410-01-11
18901175042323,510402-0222-6410-01-11
05413868107050,510402-0122-6410-02-11
05413868107067,510402-0222-6410-02-11
06285101003950,541402-0222-6410-01-04
06285101003981,541402-0422-6410-01-04
06286023000461,541402-0222-6410-02-04
06286023000478,541402-0322-6410-02-04
06286023000485,541402-0122-6410-02-04
06286023000492,541402-0522-6410-01-04
06286023000508,541402-0622-6410-01-04
06286023000515,541402-0422-6410-02-04
00319810900647,541402-0222-6410-03-05
00319810900449,541402-0322-6410-03-05
00319810900470,541402-0122-6410-03-05
96677000000214,541402-0322-6410-04-04
96677000000215,541402-0122-6410-04-04
05415062003022,542401-0122-2701-01-19
99661603221851,541004-0122-2706-02-19
06285101003257,830401-0122-6416-01-04
06285101003264,830401-0222-6416-01-04
06285101003271,830401-0322-6416-01-04
07612797079362,830401-0122-6416-02-04
07612797079379,830401-0222-6416-02-04
07612797079386,830401-0322-6416-02-04
96600000011123,830401-0422-6410-01-04
96600000011124,830401-0522-6410-01-04
96600000011125,830401-0622-6410-01-04
07612797346211,830401-0422-6410-03-04
07612797346204,830401-0522-6410-03-04
07612797346198,830401-0622-6410-03-04
00771313189019,830402-0130-5401-01-05
00771313142885,830402-0122-6410-01-04
07612797394076,830403-0122-2706-01-19
96677000000141,830403-0122-4801-01-19
99662303221875,140601-0130-5402-01-19
07640128545132,550102-0122-2706-01-19
07640128545149,550102-0222-2706-01-19
06285101005145,481105-0122-2706-01-19
06285101005138,481105-0222-6401-01-05
99663521920000,531802-0102-2707-01-19
08715131006983,620202-0130-2713-01-17
08715131007324,620202-0230-2713-01-19
50085412486012,640301-0101-3501-01-05
06251106210235,780204-0122-6410-01-04
06281086002056,780204-0130-6201-01-05
06281086001806,780204-0122-6410-02-04
06285104000598,780204-0130-6201-02-05
06291107472133,780204-0222-6201-01-05
06291107472126,780204-0122-6410-03-04
26285157000709,780204-0122-6401-01-04
06285312000021,780204-0130-6201-03-05
06285312000014,780204-0122-6410-04-04
06285128006309,780204-0122-6410-05-04
96611223344640,780204-0122-6401-02-04
05200251680111,780204-0122-6410-06-04
08430469152873,780204-0122-6410-07-04
99662401221632,780204-0122-6410-08-04
06286219000541,780204-0130-6201-04-05
06285095010521,780204-0122-6410-09-04
06285145000380,780204-0130-6201-05-05
06285145000076,780204-0122-6410-10-04
06285101001109,780204-0130-6201-06-05
06285101002243,780204-0122-6410-11-04
96677000000616,780204-0122-6410-12-04
96677000000617,780204-0122-6410-12-04
06281086002063,780204-0130-6201-07-05
06281086707012,780204-0122-6410-13-04
06251107425478,780204-0130-6201-08-05
06281086104484,780205-0122-6401-01-04
07640128548218,430102-0130-5601-01-11
07640128548195,430102-0241-6416-01-11
07640128548201,430102-0341-6416-01-11
96600000005165,430102-0441-4801-01-04
00366582500131,410601-0141-6410-01-04
06285447000019,410601-0141-6410-02-04
09501100941541,410601-0141-6410-03-04
06286219001036,690103-0122-6410-01-05
05415062002827,690103-0122-6409-01-05
96600000000109,341001-0101-0901-01-18
06251161020145,340204-0122-5401-01-05
06251161010177,340204-0222-4001-01-18
08058773460004,580102-0122-6410-01-04
05400835003606,580102-0130-2706-01-01
05400835003613,580102-0130-2706-01-01
07640153088659,020401-0122-6409-01-04
07640153088871,020401-0222-6409-01-04
07640153088765,020401-0322-6409-01-04
06285104000468,020401-0122-6409-02-04
06285104000475,020401-0122-6409-02-04
06285104000482,020401-0422-6409-01-04
96600000011148,680901-0146-2713-01-19
10304091638027,680901-0146-2713-02-19
06285147803088,680901-0146-2714-01-19
09010453001548,680901-0146-5402-01-19
96677000000272,680901-0146-5402-01-19
96677000000274,680901-0146-5402-01-19
96629092021005,110402-0101-5406-01-11
06285074000857,110402-0201-0901-01-18
06285074000864,110402-0201-4001-01-18
06285074001168,110402-0201-4001-01-18
09501100940926,110402-0201-0901-03-18
06291100084579,110402-0201-0901-99-18
06251161010139,110402-0201-4001-02-18
06297000720197,110402-0129-0601-01-18
06285085003410,170202-0101-5401-01-03
96600000001077,170203-0101-5401-01-05
06285111001465,170203-0101-2713-01-05
96600000000672,170204-0101-5401-01-05
06285111001083,170204-0101-2713-01-05
03700028502315,801018-0101-5406-01-11
06285111000864,170205-0101-2713-01-05
06285111001182,170205-0101-2713-01-05
06285111000857,801007-0101-2713-01-05
05413895030826,801018-0122-5406-01-11
96600000006868,170206-0101-2713-01-05
06285111001199,170206-0101-2713-02-05
06285085000273,770202-0130-6201-01-03
06281086705094,770202-0130-6201-02-05
06281080001604,770202-0130-6201-03-05
06285101002571,770202-0130-6201-04-05
06285147002436,770203-0130-6201-01-05
06285128006477,700103-0122-0401-01-04
06281080001505,700103-0222-6201-01-05
96600000007867,700103-0222-6201-02-05
96600000004111,740305-0122-6201-01-05
06285111000536,170303-0101-2713-01-05
06285111002424,170303-0101-2713-01-03
06285111002301,170303-0101-2713-01-03
06285111002318,170303-0101-2713-01-03
06285111002295,170303-0101-2713-01-03
06285111002431,170303-0101-2713-01-03
06285111002455,170303-0101-2713-01-03
06285111002448,170303-0101-2713-01-03
06285111001250,170303-0101-2713-01-03
06285085002956,170303-0101-2713-01-05
06285111001502,170303-0101-2713-01-05
06285111001014,170303-0101-2713-01-05
06285177000181,170303-0101-2713-01-05
06285111002745,170303-0101-2713-01-03
06285177000075,170303-0101-2713-01-05
06285064000294,170303-0101-2713-01-03
06285064000287,170303-0101-2713-01-03
06285064000317,170303-0101-2713-01-03
06285064000300,170303-0101-2713-01-03
06285064000324,170303-0101-2713-01-03
06285064000621,170303-0101-2713-01-03
06285064000614,170303-0101-2713-01-03
06285111000314,170303-0201-2713-01-05
06285111000581,170303-0201-2713-01-05
06285111001267,170303-0201-2713-01-03
06285111001274,170303-0201-2713-01-03
06285111000321,170303-0201-2713-01-05
06285085003007,170303-0201-2713-01-03
06285111001052,170303-0201-2713-01-05
06285064000270,170303-0201-2713-01-03
06285064000263,170303-0201-2713-01-03
06285064000256,170303-0201-2713-01-03
06285111003032,170303-0201-2713-01-03
06285111000697,170303-0301-2713-01-05
06285111003452,170303-0301-2713-01-05
06285111003476,170303-0301-2713-01-05
06285111003469,170303-0301-2713-01-05
06285111001205,170303-0301-2713-01-03
06285111003285,170303-0401-2713-01-05
06285111003308,170303-0401-2713-01-05
06285111003292,170303-0401-2713-01-05
06285111001595,170303-0401-2713-01-03
06285111001212,170303-0501-2713-01-03
06285111003254,170303-0501-2713-01-05
06285111003247,170303-0501-2713-01-05
06285111000680,170303-0501-2713-01-05
06285111003261,170303-0501-2713-01-01
06285111003353,170303-0601-2713-01-05
06285111000185,170303-0601-2713-01-05
06285111000611,170303-0601-2713-01-05
06285111000413,170303-0601-2713-01-05
06285111003346,170303-0601-2713-01-05
06285111000543,170303-0601-2713-01-05
06285111003360,170303-0601-2713-01-05
06285111001601,170303-0601-2713-01-03
00303380719068,170303-0701-2713-01-03
96600000002979,170303-0201-2713-01-05
96600000005003,170303-0201-2713-01-05
96600000005216,170303-0201-2713-01-05
96600000001683,170303-0201-2713-01-03
96600000004809,170303-0301-2713-01-05
96600000001568,170303-0401-2713-01-05
96600000004633,170303-0501-2713-01-05
96600000002133,170303-0101-2713-01-05
96600000002275,170303-0101-2713-01-05
96600000008021,170303-0101-2713-01-05
96600000005425,170303-0101-2713-01-03
96600000001635,170303-0101-2713-01-03
96600000005768,170303-0101-2713-01-03
96600000002223,170303-0101-2713-01-03
96600000008212,170303-0101-2713-01-05
96600000007714,170303-0601-5401-01-05
96600000002207,170303-0701-5401-01-03
06298044065510,170303-0101-2713-04-03
06298044065640,170303-0201-2713-02-03
96677000000480,580404-0122-0401-01-04
05290931022461,680106-0130-2713-01-19
96600000002678,680106-0230-6201-01-05
96600000003209,680106-0122-6401-03-04
96600000002437,680106-0222-4001-01-18
96600000002981,680106-0222-5901-01-04
96600000003127,680106-0222-6401-01-04
96600000002777,680106-0130-5401-01-01
96600000002364,680106-0322-4001-01-18
96600000002881,680106-0322-5901-01-04
96600000006463,680106-0122-6401-04-04
07613326003841,680106-0222-6401-02-04
07640149615777,680106-0130-2713-02-01
07613326018135,680106-0322-6401-01-04
96600000008262,481804-0122-5401-01-19
96600000005799,481804-0222-5401-01-19
07640153087928,580202-0130-2713-01-01
06285074000604,410701-0122-6401-01-04
06091403215553,190501-0230-1501-01-05
06091403215720,190501-0222-6401-02-04
06091403215508,190501-0322-6401-02-04
06091403221028,190501-0130-2713-02-01
06285104000017,020106-0122-6402-01-04
06285104000802,020107-0122-6402-01-04
96600000008489,710501-0122-6401-01-04
03582910040743,250201-0222-6401-01-04
03582910040729,250201-0322-6401-01-04
03582910010746,250201-0622-0407-01-04
03582910010739,250201-0122-0407-01-04
06281080011795,250201-0422-6410-01-04
06285088001338,250201-0422-6401-02-04
96600000004020,790202-0130-2713-01-19
96600000005763,790202-0122-6401-01-04
06291100086306,780501-0122-6401-01-04
96600000002179,780501-0222-6401-01-04
06286219000510,570402-0122-0405-01-04
06286219000534,570402-0222-0405-01-04
06286023000157,570402-0122-0405-02-04
06286023000140,570402-0122-0405-02-04
06286023000171,570402-0222-0405-02-04
06286023000164,570402-0222-0405-02-04
96677000000743,570402-0122-0401-01-04
96677000000742,570402-0222-0401-01-04
06285101004544,570402-0122-0405-03-04
06285101004537,570402-0222-0405-03-04
05713219472135,570402-0122-0402-01-04
05713219472142,570402-0222-0402-01-04
06285193000332,570402-0222-0401-02-07
06285193000325,570402-0222-0401-02-05
96600000004086,090104-0122-6401-01-04
96600000003032,090104-0122-6401-01-04
